Datawarrior,ChEMBLID,Smiles,IC50,
1,CHEMBL3121193,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(Cc3ccc(B(O)O)c(F)c3)S(C)(=O)=O)c(C3CC3)cc12,130,CHEMBL3120133
2,CHEMBL3902813,O=C(Nc1c(OCc2ccc(Cl)cc2)cccc1C(=O)O)c1ccccc1,50000,Document chembl3872248(
3,CHEMBL4638107,COc1ccc2c(c1)[C@H]1[C@@H](CCN1CCN(C)C)CCn1c-2c(C2CCCCC2)c2ccc(C(=O)O)cc21,4,
4,CHEMBL4638630,COc1ccc2c(c1)C=C(c1c(C(=O)C3C4CCCC3COC4)cnn1-c1ccncc1C)Cn1c-2c(C2CCCCC2)c2ccc(C(=O)NS(=O)(=O)C(C)C)cc21,4.3,
5,CHEMBL4646449,Cc1ccc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2c1,5,
6,CHEMBL4635161,CN(C)CCN(C)[C@@H]1Cn2c(c(C3CCCCC3)c3ccc(C(=O)O)cc32)-c2ccccc2O1,6,
7,CHEMBL4633142,CC1COc2cc3c(-c4ccc[nH]c4=O)c(C(=O)NS(C)(=O)=O)n(Cc4cc(F)ccc4F)c3cc21,6,
8,CHEMBL245328,O=C(O)c1ccc2c(C3CCCCC3)c3n(c2c1)CCOc1cc(OCc2cc(N4CCCC4=O)ccc2N2CCOCC2)ccc1-3,7.2,
9,CHEMBL2011266,Cc1cc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2cc1F,8,
10,CHEMBL372357,O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,10,
11,CHEMBL372357,O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,10,
12,CHEMBL4638877,Cn1c(-c2ccc(OCc3cc(N4CCCC4=O)ccc3N3CCOCC3)cc2)c(C2CCCCC2)c2sc(C(=O)O)cc21,10,
13,CHEMBL4643906,Cc1c(C(=O)O)sc2c(C3CCCCC3)c(-c3ccccc3)n(CC(=O)N(C)C3CCN(C(C)C)C3)c12,10,
14,CHEMBL202319,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1CCC1CC1,13,
15,CHEMBL372357,O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,13,
16,CHEMBL4643189,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccc(N4CCCC4=O)cc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1,17,
17,CHEMBL3422107,CC(C)N1CC[C@@H](N2CCn3c(c(C4CCCCC4)c4sc(C(=O)O)cc43)-c3ccccc3C2)C1,19,
18,CHEMBL353549,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)c1ccc2c(c1)nc(-c1ccoc1)n2C1CCCCC1,19,
19,CHEMBL202317,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cc(F)ccc21,20,
20,CHEMBL425221,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cc(NCC(=O)O)ccc21,21,
21,CHEMBL202405,CC(C)(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21,21,
22,CHEMBL379033,COc1ccc2c(c1)c(O)c(C1=NS(=O)(=O)c3ccccc3N1)c(=O)n2CCC(C)C,23,
23,CHEMBL380686,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cc(OCC(N)=O)ccc21,24,
24,CHEMBL370203,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1Cc1ccoc1,27,
25,CHEMBL480816,CN(C)CCN1CCn2c(c(C3CCCCC3)c3ccc(C(=O)O)cc32)-c2ccccc2C1,27,
26,CHEMBL176058,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21,32,
27,CHEMBL203426,Nc1ccc2c(c1)c(O)c(C1=NS(=O)(=O)c3ccccc3N1)c(=O)n2CCC1CC1,32,
28,CHEMBL201558,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2c(Cl)cccc21,33,
29,CHEMBL201690,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cc(OCC#N)ccc21,34,
30,CHEMBL201332,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1Cc1cccc(Br)c1,36,
31,CHEMBL4641917,CS(=O)(=O)Nc1cccc(S(=O)(=O)NC(=O)c2c(-c3ccc[nH]c3=O)c3ccc(Cl)cc3n2Cc2ccnc(N)c2)c1,39,
32,CHEMBL203254,CC1CC1Cn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21,41,
33,CHEMBL390883,CC(=O)N(c1ccc(N2CCOCC2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c1)C(C)C,42,
34,CHEMBL201406,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cc(Cl)ccc21,43,
35,CHEMBL202165,CC(CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21)C(F)(F)F,44,
36,CHEMBL201769,Cc1ccc2c(c1)c(O)c(C1=NS(=O)(=O)c3ccccc3N1)c(=O)n2CCC(C)C,47,
37,CHEMBL201600,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2c(O)cccc21,47,
38,CHEMBL202595,CC(C)(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cc(NCCO)ccc21,48,
39,CHEMBL201385,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1CC1CCC1,49,
